CapturedFrameNumber,LatencyInMs
0,20.0099
1,18.6849
2,17.8183
3,19.2975
4,17.7066
5,18.0694
6,17.2109
7,17.4637
8,17.6977
9,17.4112
10,17.22
11,17.3478
12,17.598
13,17.4414
14,17.3733
15,17.3923
16,17.027
17,17.4701
18,16.9507
19,17.3997
20,17.5588
21,17.2262
22,17.1663
23,17.3506
24,17.1289
25,17.2995
26,17.2172
27,17.5057
28,18.1778
29,18.6196
30,17.2154
31,17.4883
32,17.258
33,17.5252
34,18.3747
35,17.3563
36,17.6069
37,17.0414
38,17.4671
39,16.801
40,17.6087
41,17.1656
42,17.3045
43,16.911
44,17.3863
45,17.4932
46,17.3285
47,17.2567
48,17.6174
49,17.314
50,17.476
51,18.083
52,17.4436
53,17.3231
54,17.5772
55,17.2108
56,17.3725
57,17.0208
58,17.3954
59,17.1705
60,21.4608
61,19.9893
62,17.8032
63,17.0848
64,17.5606
65,17.0433
66,17.1328
67,17.8095
68,17.3835
69,17.0253
70,17.4802
71,17.4028
72,17.2411
73,17.6934
74,17.227
75,17.3023
76,17.1449
77,17.291
78,17.44
79,17.1333
80,17.6173
81,17.0842
82,17.2282
83,17.2014
84,17.5911
85,17.3974
86,18.6835
87,17.0948
88,17.0932
89,17.1106
90,17.4327
91,18.2992
92,17.4144
93,17.8245
94,17.2769
95,17.2584
96,17.4505
97,17.4331
98,17.5301
99,17.6028
100,17.1949
101,17.6696
102,17.4446
103,17.3749
104,17.2973
105,17.0743
106,17.5599
107,17.4522
108,17.5963
109,17.6079
110,17.173
111,17.2689
112,17.2162
113,17.4852
114,17.2586
115,17.4768
116,17.4364
117,17.2364
118,17.8174
119,17.3027
120,17.0957
121,17.3992
122,17.5207
123,17.5676
124,17.3921
125,17.6603
126,17.1924
127,17.3398
128,17.4161
129,17.5553
130,17.2885
131,17.6128
132,17.2106
133,17.791
134,17.4257
135,17.3688
136,16.9387
137,17.5217
138,16.9546
139,17.1824
140,17.1876
141,17.417
142,17.291
143,17.8217
144,18.669
145,17.4098
146,17.2275
147,17.1813
148,17.2351
149,17.4048
150,17.286
151,17.8206
152,18.2155
153,17.604
154,17.3476
155,17.5295
156,17.276
157,17.5421
158,17.1657
159,17.3972
160,17.2584
161,17.6623
162,17.3701
163,19.4396
164,17.8173
165,17.3806
166,17.372
167,17.3012
168,17.2964
169,17.3169
170,17.6861
171,17.2246
172,17.6806
173,17.6389
174,17.3833
175,17.32
176,17.4505
177,17.4247
178,17.508
179,17.7872
180,17.6116
181,17.2333
182,17.0958
183,17.5258
184,17.3074
185,17.3283
186,17.7282
187,17.399
188,17.274
189,17.8012
190,16.9593
191,17.4284
192,17.1315
193,17.6077
194,17.0734
195,17.3419
196,17.3399
197,17.4642
198,16.9227
199,17.2413
200,17.59
201,17.2138
202,18.6656
203,17.3602
204,17.1599
205,17.5118
206,17.1792
207,17.4282
208,17.4765
209,17.5758
210,17.9205
211,17.3708
212,17.1863
213,17.8117
214,17.5033
215,17.8797
216,17.4035
217,17.6465
218,17.1733
219,18.6624
220,17.8665
221,18.0565
222,17.6774
223,17.4772
224,17.4644
225,17.2644
226,17.4433
227,17.3658
228,17.8199
229,17.5104
230,17.6011
231,17.4168
232,17.7607
233,18.0712
234,17.0476
235,17.4685
236,16.9364
237,17.6181
238,17.0846
239,17.3884
240,17.2525
241,17.4029
242,17.6628
243,17.2823
244,17.3803
245,17.4428
246,17.1807
247,17.4726
248,17.1446
249,17.5988
250,17.0402
251,17.6096
252,17.6916
253,17.4998
254,16.9954
255,17.2984
256,17.1446
257,17.4576
258,16.9151
259,17.5519
260,19.1866
261,17.2596
262,16.9825
263,17.456
264,17.3951
265,17.2088
266,17.045
267,17.2785
268,17.0701
269,17.5408
270,17.3675
271,17.2809
272,17.1895
273,17.6642
274,17.1154
275,17.3585
276,17.1829
277,17.4594
278,17.5941
279,17.3499
280,17.3542
281,17.458
282,17.4524
283,17.3549
284,16.8713
285,17.2764
286,17.0179
287,17.9314
288,16.8559
289,17.3934
290,17.1322
291,17.4297
292,17.5638
293,17.4086
294,17.1423
295,17.2993
296,17.413
297,17.3489
298,17.1923
299,17.3574
300,17.5395
301,17.6072
302,17.3387
303,17.312
304,17.1205
305,17.456
306,16.9473
307,17.5419
308,17.6616
309,17.5105
310,17.2337
311,17.3236
312,17.4924
313,17.4842
314,17.332
315,18.2696
316,16.9689
317,17.2981
318,18.0775
319,17.3366
320,16.9747
321,17.6753
322,17.0811
323,17.6592
324,17.1942
325,17.6632
326,16.9791
327,17.2578
328,17.1412
329,17.4412
330,16.8761
331,17.6094
332,17.6737
333,17.2833
334,16.9029
335,17.5417
336,16.7962
337,17.1148
338,17.203
339,17.4883
340,17.103
341,17.4942
342,17.1998
343,17.2353
344,17.4966
345,17.4012
346,17.1617
347,17.3277
348,17.5175
349,17.2678
350,17.5776
351,17.407
352,17.6008
353,17.289
354,17.0811
355,17.0067
356,17.4317
357,17.2499
358,17.2706
359,17.2537
360,17.5879
361,17.0993
362,17.1107
363,17.7022
364,17.4067
365,17.2718
366,17.3621
367,17.1544
368,17.561
369,17.1778
370,17.3159
371,17.5721
372,17.665
373,17.0551
374,17.4599
375,17.468
376,18.805
377,17.6294
378,17.0057
379,17.6505
