CapturedFrameNumber,LatencyInMs
0,20.9627
1,19.3011
2,18.0326
3,18.4916
4,18.3083
5,19.6326
6,18.8975
7,17.8144
8,19.0297
9,18.6613
10,18.1097
11,18.3601
12,19.1847
13,18.3363
14,17.891
15,18.5511
16,18.128
17,17.818
18,18.5634
19,18.0265
20,18.75
21,18.0691
22,18.4792
23,18.163
24,17.9776
25,17.9995
26,18.2415
27,17.8878
28,18.1877
29,17.7706
30,18.0339
31,18.3652
32,18.2234
33,18.0936
34,18.0619
35,17.9892
36,18.1423
37,18.0146
38,18.099
39,17.7754
40,17.9011
41,18.4148
42,17.7879
43,18.5219
44,17.5214
45,17.7091
46,18.7593
47,18.7778
48,18.1042
49,17.9714
50,18.1988
51,17.991
52,18.0696
53,17.967
54,18.0812
55,17.9495
56,18.1071
57,17.9389
58,18.3275
59,18.2178
60,18.2072
61,18.3303
62,17.5203
63,19.1774
64,18.24
65,17.8799
66,18.1264
67,17.8738
68,18.0183
69,18.612
70,17.9355
71,18.0322
72,18.0559
73,18.2013
74,18.1196
75,17.5013
76,18.1763
77,18.2851
78,18.0593
79,18.3531
80,17.6372
81,18.5497
82,18.0347
83,18.1448
84,18.2764
85,18.0384
86,18.2779
87,18.2109
88,18.5189
89,17.9938
90,17.9712
91,18.0082
92,18.0803
93,17.8457
94,18.3422
95,17.8098
96,18.1439
97,18.2849
98,17.9207
99,18.1947
100,17.9414
101,18.2022
102,19.7467
103,18.3966
104,18.1151
105,18.2167
106,17.837
107,17.9244
108,17.9472
109,18.2899
110,18.2304
111,17.8522
112,17.9216
113,18.1292
114,18.0962
115,18.3628
116,17.703
117,17.773
118,18.0547
119,18.4906
120,18.6001
121,17.9224
122,17.9031
123,18.2659
124,17.9894
125,18.0003
126,18.6712
127,17.9317
128,18.5271
129,18.1195
130,17.9965
131,18.204
132,18.2102
133,18.4768
134,18.169
135,18.237
136,18.0336
137,20.3359
138,17.8278
139,19.1314
140,18.366
141,18.1394
142,18.686
143,18.0762
144,18.3781
145,18.5987
146,18.0851
147,18.0781
148,18.3621
149,17.7146
150,18.1128
151,18.5861
152,18.0113
153,18.1925
154,17.9441
155,17.8896
156,18.7226
157,18.3383
158,19.7055
159,18.2995
160,17.9801
161,17.7633
162,17.9187
163,18.0884
164,18.6187
165,18.189
166,17.9026
167,18.1758
168,18.0191
169,18.2502
170,17.5829
171,18.1367
172,18.0371
173,18.6946
174,18.4238
175,18.2229
176,17.9532
177,18.1582
178,17.8377
179,17.8515
180,17.5357
181,18.0722
182,18.2201
183,18.6537
184,18.1431
185,18.1476
186,18.0718
187,18.5404
188,17.4907
189,18.3676
190,18.24
191,17.9065
192,18.1297
193,17.5449
194,18.0662
195,18.1897
196,18.2231
197,18.7655
198,17.9242
199,20.2993
200,18.1473
201,18.4793
202,18.1751
203,17.934
204,17.7944
205,18.0898
206,18.1638
207,18.0891
208,18.0656
209,17.5868
210,18.1613
211,18.4698
212,18.1998
213,19.0909
214,18.5195
215,17.9695
216,17.9971
217,17.8103
218,18.1062
219,18.0613
220,17.9016
221,18.5356
222,17.8997
223,18.3258
224,18.1086
225,17.9309
226,18.1223
227,17.9929
228,18.6723
229,18.3798
230,17.6491
231,17.8874
232,18.3647
233,18.0344
234,17.9983
235,17.7295
236,17.8273
237,18.0341
238,17.8766
239,18.3584
240,18.0219
241,18.127
242,18.2653
243,18.1471
244,18.1411
245,17.5602
246,17.9589
247,18.3585
248,18.2304
249,18.1973
250,17.9227
251,17.6495
252,18.305
253,18.2084
254,18.3224
255,17.7814
256,18.0475
257,18.2298
258,17.8405
259,18.5424
260,17.6924
261,18.1002
262,17.9609
263,17.999
264,18.0405
265,17.6722
266,18.2388
267,18.3205
268,18.704
269,18.9878
270,18.6789
271,17.9038
272,18.346
273,18.0895
274,17.9276
275,18.2734
276,17.6963
277,18.4109
278,18.1256
279,18.0934
280,18.247
281,17.7703
282,17.7118
283,34.2799
284,17.4864
285,18.3205
286,17.9976
287,18.0513
288,18.0173
289,17.5303
290,18.6408
291,18.0391
292,17.9909
293,18.3022
294,17.8712
295,18.3319
296,19.0608
297,18.1616
298,17.9126
299,17.9287
300,18.1696
301,19.0044
302,18.064
303,18.0253
304,18.3537
305,17.8772
306,18.1172
307,18.177
308,17.934
309,18.8035
310,17.5669
311,18.2669
312,18.1605
313,18.0046
314,18.1156
315,18.1326
316,17.6883
317,18.2478
318,18.0482
319,18.1006
320,17.6835
321,18.3089
322,18.0092
323,18.4575
324,18.6477
325,17.9278
326,17.9983
327,18.037
328,18.1471
329,18.3496
330,17.9059
331,18.1424
332,18.4218
333,17.4956
334,18.3952
335,17.9821
336,18.1135
337,18.3958
338,19.2735
339,18.5179
340,18.4404
341,18.3552
342,18.045
343,18.6065
344,17.2765
345,18.263
346,17.7181
347,18.0498
348,18.476
349,18.0089
350,18.089
351,18.0616
352,18.0249
353,18.4987
354,17.5994
355,18.3092
356,17.9922
357,18.422
358,18.3566
359,18.0044
360,18.1667
361,18.3289
362,18.0075
363,18.1276
364,17.8688
365,17.9488
366,18.2375
367,18.1202
368,18.5477
369,18.1615
370,18.4205
371,18.0928
372,18.6186
373,18.1042
374,18.1553
375,18.1473
376,18.0335
377,18.3226
378,17.8886
379,19.6279
380,17.8037
381,18.5149
382,18.1316
383,17.6281
384,18.2824
385,17.9318
386,18.2005
387,18.2208
388,17.5801
389,18.2814
390,17.9688
391,18.1839
392,18.5262
393,19.2508
394,18.2183
395,18.3549
396,18.312
397,18.1322
398,18.0909
399,17.7073
400,17.7882
401,18.6838
402,18.2946
403,18.117
404,18.03
405,17.8153
406,18.1217
407,17.986
408,18.1792
409,17.5883
410,18.1705
411,18.1033
412,18.0182
413,18.4224
414,17.7917
415,18.2594
