CapturedFrameNumber,LatencyInMs
0,16.6927
1,14.2152
2,13.8853
3,13.8064
4,13.6139
5,13.6125
6,13.3383
7,13.339
8,14.8526
9,14.3362
10,13.5425
11,13.2728
12,13.3907
13,13.5103
14,13.8019
15,13.6082
16,13.7405
17,13.7381
18,14.0733
19,13.7149
20,13.9001
21,13.8288
22,13.5902
23,13.8014
24,15.0992
25,14.0999
26,13.4478
27,13.7109
28,14.0992
29,13.4775
30,13.6931
31,14.1453
32,13.745
33,13.8182
34,13.9638
35,15.0442
36,13.5115
37,13.5148
38,13.8825
39,13.771
40,14.5531
41,13.6772
42,13.9097
43,13.4775
44,13.7567
45,13.9385
46,13.7831
47,13.7425
48,13.7113
49,13.7215
50,13.7926
51,13.6788
52,13.899
53,14.1019
54,13.7635
55,13.7868
56,13.9363
57,14.2714
58,14.0419
59,13.6678
60,13.7976
61,13.8651
62,13.7541
63,13.7331
64,14.0089
65,13.7152
66,14.0749
67,14.0135
68,13.9446
69,13.7604
70,13.7662
71,13.9174
72,15.1318
73,13.6429
74,13.5471
75,13.8614
76,13.9849
77,13.6901
78,13.6849
79,13.6132
80,13.8521
81,13.8699
82,13.7425
83,13.7271
84,13.7074
85,13.5115
86,13.7125
87,13.4865
88,13.6045
89,13.483
90,13.7618
91,13.7903
92,14.1031
93,13.8472
94,13.8396
95,14.1149
96,13.984
97,14.4114
98,13.5224
99,13.6772
100,13.8384
101,13.858
102,13.7314
103,13.6192
104,13.9391
105,13.8542
106,14.1674
107,13.8624
108,14.3006
109,15.7445
110,13.7505
111,13.7672
112,14.5322
113,13.7516
114,13.7863
115,13.8715
116,14.197
117,13.8687
118,13.9027
119,14.1503
120,13.8529
121,13.7017
122,13.8276
123,13.6004
124,13.859
125,13.8317
126,13.7852
127,13.7278
128,13.8991
129,13.8463
130,14.3366
131,13.7121
132,14.0814
133,13.8042
134,13.8894
135,13.6678
136,13.6721
137,13.8738
138,13.6775
139,13.6067
140,13.7162
141,14.3796
142,13.6388
143,13.7278
144,14.2467
145,13.3072
146,15.4057
147,13.6026
148,13.6973
149,13.9301
150,13.7249
151,13.8509
152,14.013
153,13.8503
154,13.7239
155,13.7543
156,14.0893
157,13.7063
158,13.7347
