CapturedFrameNumber,LatencyInMs
0,14.6618
1,11.1909
2,11.5098
3,11.3349
4,11.5274
5,13.5167
6,10.9838
7,11.2541
8,11.7109
9,10.8421
10,11.4765
11,11.3348
12,11.0175
13,11.7657
14,11.1876
15,11.8845
16,11.2417
17,11.1833
18,11.9952
19,11.5622
20,10.9958
21,11.3079
22,11.9204
23,11.2619
24,11.5166
25,11.3816
26,10.8992
27,12.034
28,10.9697
29,11.2424
30,11.5243
31,11.4141
32,11.1304
33,11.8653
34,11.0515
35,11.2604
36,11.5478
37,11.1078
38,11.5369
39,11.238
40,11.3674
41,11.4963
42,11.2013
43,11.8868
44,11.4922
45,11.0737
46,11.6261
47,11.5652
48,11.2205
49,11.3617
50,11.3762
51,11.2797
52,11.0584
53,11.2887
54,11.757
55,11.5427
56,11.4421
57,11.4027
58,13.395
59,11.671
60,10.9502
61,11.4983
62,11.2392
63,11.7233
64,11.4821
65,11.1738
66,11.7395
67,11.3515
68,14.0979
69,11.2749
70,11.5751
71,11.7659
72,11.2752
73,11.2033
74,12.0607
75,11.3305
76,12.2678
77,12.1009
78,11.2945
79,11.2763
80,11.8532
81,11.3326
82,11.3373
83,11.3269
84,11.0767
85,11.4378
86,11.1464
87,11.3047
88,12.9979
89,11.7826
90,10.9772
91,11.4205
92,11.6698
93,11.1653
94,11.4434
95,11.2665
96,10.9698
97,11.4996
98,11.1075
99,11.2279
100,11.2281
101,11.2509
102,11.2534
103,11.4597
104,11.3821
105,11.6097
106,11.7416
107,11.2127
108,11.5587
109,11.3188
110,11.2803
111,11.9832
112,10.9033
113,11.5675
114,11.3825
115,11.0827
116,11.8737
117,11.4565
118,11.6012
119,11.4076
120,11.0577
121,11.2162
122,11.6592
123,11.2942
124,11.2848
125,11.4842
126,10.8642
127,11.6271
128,11.5201
129,11.1141
130,11.4845
131,11.3372
132,11.1269
133,11.763
134,11.484
135,11.2271
136,11.2212
137,11.3649
138,11.2777
139,11.5552
140,11.1823
141,11.2803
142,11.2655
143,11.4469
144,11.4955
145,11.3809
146,11.4528
147,11.1263
148,11.084
