CapturedFrameNumber,LatencyInMs
0,11.9442
1,10.2575
2,8.0073
3,9.344399
4,9.3559
5,8.9122
6,9.066401
7,10.5515
8,10.9006
9,7.956
10,8.8658
11,9.001101
12,9.1939
13,8.8787
14,8.882501
15,8.8128
16,8.8491
17,9.1677
18,8.5106
19,9.5632
20,8.8361
21,8.991301
22,9.1122
23,8.872601
24,8.6341
25,9.1295
26,9.1945
27,9.1343
28,8.9044
29,9.0707
30,8.992
31,8.745299
32,9.1448
33,8.9475
34,8.8648
35,8.7599
36,9.11
37,8.964001
38,9.365101
39,9.123
40,8.8452
41,8.8565
42,8.9593
43,8.8698
44,8.9101
45,8.9692
46,8.7463
47,9.048401
48,8.605
49,9.1943
50,8.9372
51,9.2656
52,8.5994
53,8.895801
54,9.4189
55,8.7218
56,9.0846
57,8.7339
58,9.266399
59,8.887
60,8.836
61,9.098
62,8.7504
63,8.8139
64,8.9686
65,9.0562
66,9.2568
67,8.7718
68,9.2092
69,8.8644
70,9.2838
71,9.1386
72,8.9135
73,8.973
74,8.6428
75,9.135301
76,8.9068
77,9.078401
78,9.4825
79,9.166
80,9.1237
81,8.6476
82,8.6588
83,8.9662
84,8.8827
85,9.1155
86,8.7114
87,8.8841
88,9.0949
89,9.1209
90,8.6794
91,8.950299
92,9.0223
93,9.5588
94,8.8096
95,8.787
96,9.1489
97,9.0996
98,8.8413
99,8.764
100,8.908401
101,9.3062
102,9.0017
103,8.7577
104,9.4299
105,8.9326
106,9.1
107,9.211
108,8.507199
109,8.8355
110,8.9622
111,9.0709
112,8.8266
113,9.2278
114,9.0707
115,9.1277
116,9.384
117,9.0981
118,8.7687
119,9.3209
120,8.8685
121,8.8208
122,8.7636
123,8.8079
124,9.1073
125,8.7943
126,8.910501
127,8.9601
128,8.9214
129,9.0076
130,8.8301
131,9.321301
132,8.942901
133,8.7436
134,9.138201
135,8.7651
136,9.451
137,8.7409
138,9.1908
139,8.7814
140,8.6927
141,8.8559
142,9.1191
143,9
144,8.8248
145,9.4565
146,9.0735
147,8.913
148,9.29
149,8.8346
150,9.1724
151,8.5001
152,9.0202
153,9.1567
154,8.878099
155,8.8232
156,8.9234
157,8.701
158,9.0436
159,8.7872
160,8.9349
161,8.746201
162,8.9704
163,8.809199
164,8.9846
165,8.8722
166,8.9681
167,9.1725
168,8.633901
169,9.0766
170,9.0686
171,8.7912
172,9.6654
173,9.1048
174,8.817699
175,9.127001
176,9.0249
177,8.6068
178,8.9289
179,9.0402
180,8.9544
181,9.935
182,9.276401
183,9.2577
184,8.5689
185,9.605
186,9.017401
187,9.0724
188,8.6869
189,8.914001
190,8.8588
191,8.8377
192,9.5274
193,8.5786
194,8.8464
195,9.0379
196,8.9251
197,8.857901
198,9.0418
199,9.5379
200,9.070499
201,8.9088
202,8.9199
203,8.7901
204,9.2085
205,8.6376
206,9.710099
207,8.5518
208,8.7078
209,9.0371
210,8.8416
211,9.213901
212,8.7834
213,8.9272
214,8.8154
215,8.837999
216,9.3053
217,8.753201
218,8.8017
219,8.915
220,8.9379
221,9.6554
222,8.853299
223,9.105101
224,9.043799
225,8.905701
226,9.149099
227,9.3035
228,8.7318
229,8.9401
230,8.9718
231,8.8912
232,8.829
233,9.086901
234,9.201301
235,9.089601
236,9.116199
237,8.881
238,9.2164
239,8.7946
240,9.4745
241,8.4072
242,8.8383
243,8.8267
244,8.883
245,8.835099
246,8.871
247,8.8526
248,9.0049
249,8.6609
250,9.4226
251,8.7037
252,8.9479
253,9.463699
254,9.0492
255,9.0888
256,8.5316
257,9.351
258,8.9387
259,8.7744
260,9.036201
261,9.027301
262,8.8861
263,9.1418
264,9.2697
265,8.8331
266,8.853499
267,8.9911
268,9.038301
269,8.9323
270,8.9672
271,9.0233
272,9.152599
273,9.0698
274,8.4238
275,9.079
276,8.6929
277,9.5009
278,9.1883
279,9.2674
280,8.8804
281,9.026501
282,8.959599
283,9.1932
284,9.0883
285,8.7636
286,8.776299
287,9.0865
288,8.98
289,9.4293
290,8.816
291,9.1725
292,8.653899
293,9.1041
294,9.1148
295,8.9089
296,8.9099
297,8.9765
298,8.9902
299,9.475201
300,8.9324
301,9.2257
302,8.635501
303,8.9814
304,9.3628
305,8.8678
306,9.000999
307,8.7314
308,9.026199
309,8.8495
310,9.0302
311,8.9144
312,9.2512
313,9.3461
314,9.121
315,8.836699
316,8.8248
317,9.3547
318,9.0386
319,8.9493
320,9.0543
321,8.973301
322,8.9304
323,9.177
324,8.542399
325,8.9126
326,8.9555
327,8.819901
328,9.1161
329,9.0863
330,8.9185
331,9.1249
332,8.7519
333,8.7523
334,8.8959
335,9.2675
336,8.6332
337,8.809
338,9.2234
339,8.8155
340,8.9788
341,9.138801
342,8.8236
343,9.1818
344,9.146199
345,9.0898
346,8.8188
347,8.8462
348,8.9151
349,8.901099
350,8.9349
351,8.9556
352,9.253799
353,8.8283
354,11.3022
355,8.749
356,8.9641
357,9.535299
358,8.6285
359,8.6492
360,8.9246
361,9.38
362,8.702
363,8.6536
364,8.978701
365,9.004601
366,8.880799
367,8.6792
368,9.3747
369,8.7602
370,8.8334
371,9.1299
372,9.0264
373,8.937
374,9.3601
375,8.496
376,9.2401
377,8.711
378,8.947
379,8.8484
380,8.8011
381,8.9079
382,9.372499
383,9.3958
384,9.537399
385,9.9835
386,8.7759
387,8.9927
388,9.0315
389,8.8534
390,8.6965
391,9.7676
392,8.7858
393,9.1585
394,8.7135
395,8.9927
396,8.946
397,9.176701
398,9.1832
399,8.9043
400,8.701
401,9.011499
402,8.845301
403,8.9554
404,8.7732
405,8.832
406,9.3108
407,8.8088
408,9.628799
409,8.9358
410,9.026199
411,8.9554
412,9.0672
413,8.886399
414,8.8823
415,9.0285
416,8.9279
417,8.703099
418,9.044701
419,8.8427
420,8.997499
421,8.865601
422,8.9879
423,8.9051
424,9.0369
425,9.7404
426,8.5665
427,8.875999
428,8.819799
429,8.8654
430,8.870701
431,8.8013
432,9.543799
433,9.0158
434,8.7586
435,8.9914
436,9.3264
437,9.159101
438,8.9858
439,8.9862
440,9.2862
441,8.842299
442,9.4718
443,8.372499
444,8.8225
445,9.0644
446,9.1356
447,8.7471
448,8.9857
449,10.6096
450,9.2503
451,8.8943
452,9.0797
453,9.056
454,9.327399
455,8.9746
456,8.6862
457,8.869101
458,8.973
459,9.3216
460,8.8433
461,9.3866
462,8.735001
463,8.959399
464,9.5113
465,8.9066
466,8.8519
467,8.8162
468,9.597401
469,8.7794
470,8.6829
471,9.233601
472,10.0508
473,8.3496
474,8.840899
475,9.285399
476,9.0554
477,8.757401
478,8.9332
479,8.9296
480,9.2815
481,8.895
482,8.7269
483,8.976999
484,9.593901
485,8.3833
486,9.0389
487,8.5564
488,8.8861
489,8.9645
490,9.1755
491,8.9795
492,9.0984
493,9.0646
494,8.5389
495,9.0194
496,8.9844
497,8.724
498,8.8731
499,9.278999
500,8.849
501,8.8418
502,8.891601
503,9.1687
504,8.6294
505,9.592199
506,8.9362
507,8.757299
508,8.7978
509,8.8943
510,9.2061
511,8.5708
512,8.7147
513,9.2611
514,9.123
515,9.1867
516,9.047
517,8.8875
518,9.0613
519,8.9128
520,8.9008
521,8.8024
522,9.127999
523,8.7456
524,8.7961
525,8.813999
526,9.1755
527,9.379801
528,8.8118
529,9.356001
530,8.7511
531,9.277801
532,8.8858
533,8.9979
534,9.0091
535,8.7534
536,8.9728
537,9.1304
538,9.0531
539,8.954101
540,8.9877
541,9.243501
542,8.8034
543,9.5108
544,9.084801
545,8.4401
546,9.0014
547,9.2955
548,8.4308
549,8.9499
550,9.105901
551,8.7858
552,8.9507
553,9.018201
554,8.9973
555,9.029201
556,9.298301
557,8.828501
558,9.882999
559,8.9225
560,9.5671
561,9.2365
562,8.260301
563,9.0456
564,9.2038
565,8.4601
566,9.2659
567,9.0399
568,8.729
569,9.1351
570,8.9967
571,9.279901
572,8.7853
573,8.931
574,8.9875
575,8.9032
576,9.278
577,8.8387
578,8.9224
579,8.7818
580,9.9445
581,9.107201
582,8.7761
583,9.1699
584,8.919299
585,8.9376
586,9.028299
587,8.8174
588,9.1015
589,8.752601
590,9.0178
591,8.7616
592,9.0067
593,9.4651
594,8.8497
595,9.2923
596,8.700399
597,9.0563
598,9.3857
599,8.7933
600,9.0389
601,8.852
602,9.0272
603,8.6967
604,9.240601
605,8.904
606,8.7598
607,9.013
608,8.971
609,8.960501
610,9.068
611,8.8619
612,9.1712
613,8.546
614,9.1025
615,8.875501
616,8.7752
617,9.009899
618,9.014501
619,8.850101
620,8.801001
621,9.1865
622,9.0469
623,8.8201
624,9.1733
625,8.871699
626,8.8886
627,8.8364
628,9.2266
629,9.0651
630,8.9236
631,9.1376
632,8.7147
633,8.8874
634,9.3939
635,8.9223
636,8.872499
637,8.8375
638,9.1586
639,8.979699
640,8.8449
641,9.0609
642,8.7452
643,8.8225
644,8.8447
645,9.3599
646,9.1524
647,8.517099
648,9.055599
649,9.2468
650,9.0549
651,9.9324
652,9.4275
653,8.714
654,8.9693
655,8.9674
656,8.8771
657,8.665701
658,9.1109
659,9.1724
660,8.818
661,9.337
662,8.4675
663,9.0652
664,8.4232
665,9.0574
666,8.871099
667,8.8243
668,8.884299
669,9.1172
670,8.9326
671,9.0803
672,8.877
673,8.993299
674,8.9066
675,9.2404
676,8.9134
677,8.799601
678,8.9357
679,9.0427
680,9.1891
681,8.4894
682,9.3016
683,8.5709
684,9.069
685,9.0498
686,8.7866
687,9.446601
688,9.3755
689,8.9873
690,9.372601
691,8.704801
692,9.1821
693,9.0336
694,8.8054
695,8.986099
696,9.1305
697,9.0015
698,8.4023
699,9.1826
700,9.022099
701,8.7229
702,9.5451
703,9.0159
704,9.538
705,9.4374
706,9.061199
707,8.850599
708,8.944201
709,9.0857
710,8.8598
711,9.1808
712,8.7017
713,8.9188
714,9.1675
715,8.7604
716,8.984301
717,8.6821
718,8.796
719,9.256101
720,8.790501
721,8.9508
722,8.8502
723,8.9732
724,9.564
725,8.3285
726,9.1422
727,8.8883
728,8.8489
729,9.2999
730,8.9015
731,9.1305
732,8.6818
733,9.0696
734,8.9117
735,8.7303
736,9.0092
737,9.3304
738,8.511801
739,8.8227
740,9.1248
741,9.2917
742,9.0293
743,10.6834
744,8.845799
745,9.091399
746,8.9643
747,8.9916
748,9.0727
749,8.603701
750,8.813999
751,9.1607
752,8.5004
753,8.9821
754,9.0242
755,8.799299
756,8.935599
757,8.9537
758,8.8526
759,8.9261
760,9.2026
761,8.9845
762,8.518001
763,9.3399
764,9.5324
765,9.1267
766,8.702299
767,8.9821
768,8.701301
769,9.0717
770,9.0991
771,8.7912
772,8.8436
773,9.1306
774,9.2016
775,8.8948
776,8.9122
777,9.1271
778,9.038199
779,8.7326
780,9.171101
781,8.8815
782,9.6245
783,9.1035
784,9.5457
785,8.8082
786,8.944099
787,8.973301
788,8.6904
789,8.7688
790,8.9607
791,9.2173
792,8.7723
793,8.969601
794,9.103001
795,8.7531
796,8.9279
797,8.9471
798,8.7481
799,9.5311
800,8.7153
801,9.085799
802,8.5182
803,8.861601
804,9.7322
805,8.9017
806,8.9751
807,8.8286
808,9.21
809,9.1396
810,9.1598
811,9.4959
812,8.8466
813,8.8845
814,8.8586
815,8.837799
816,9.0398
817,9.0064
818,8.8006
819,9.1886
820,9.0741
821,8.8784
822,9.2485
823,8.9237
824,8.940599
825,9.0911
826,8.6652
827,8.9325
828,8.9591
829,9.4124
830,9.228001
831,9.354899
832,8.7504
833,9.2403
834,8.6624
835,9.2684
836,8.6966
837,8.9078
838,8.9646
839,8.8848
840,8.8859
841,9.0035
842,9.2068
843,8.765201
844,9.2282
845,9.2252
846,8.838799
847,9.030601
848,9.3115
849,8.9806
850,9.2826
851,8.6828
852,9.1918
853,8.5866
854,9.1267
855,9.0793
856,8.9738
857,8.710401
858,9.1536
859,8.7484
860,8.856199
861,9.0211
862,9.202101
863,8.6631
864,9.1334
865,8.9349
866,8.744699
867,9.1
868,8.6543
869,8.813001
870,8.7592
871,9.9255
872,8.7543
873,9.1352
874,8.7808
875,9.028
876,8.9341
877,8.7472
878,9.1397
879,9.097799
880,9.117101
881,8.913699
882,9.1593
883,8.614201
884,9.196699
885,8.8466
886,9.1542
887,8.7028
888,9.302799
889,8.900701
890,8.9039
891,9.208899
892,9.3612
893,8.9911
894,9.1205
895,9.0989
896,9.0802
897,8.7612
898,9.2239
899,8.9314
900,8.799299
901,9.2529
902,8.7284
903,8.8941
904,8.9233
905,9.0289
906,8.8999
907,8.8495
908,8.777
909,9.2187
910,9.0699
911,8.9665
912,9.0172
913,9.1064
914,8.941999
915,9.202101
916,8.7719
917,8.873
918,9.2529
919,8.921201
920,8.7366
921,9.1885
922,8.796
923,8.9657
924,9.1798
925,8.9332
926,9.0041
927,9.517099
928,8.8407
929,9.0644
930,8.7134
931,9.0349
932,9.4345
933,8.3269
934,8.9739
935,8.9389
936,9.266199
937,8.922999
938,8.7667
939,9.0501
940,9.1934
941,8.5619
942,9.1723
943,9.3517
944,8.9015
945,8.9943
946,8.8823
947,8.9168
948,8.8503
949,8.9473
950,8.8398
951,8.991699
952,9.1492
953,8.7035
954,9.33
955,8.9444
956,8.950299
957,8.981299
958,8.8703
959,8.9266
960,9.2558
961,8.9763
962,8.6126
963,8.9598
964,8.994201
965,8.8011
966,9.1909
967,8.7709
968,9.0809
969,9.447599
970,9.1074
971,8.8652
972,8.667601
973,9.071
974,8.7874
975,9.0544
976,8.7938
977,9.5563
978,8.8558
979,8.9124
980,8.8806
981,8.945801
982,8.9333
983,8.8555
984,9.2025
985,9.0508
986,9.0242
987,8.8876
988,8.8271
989,8.836
990,8.935599
991,9.091399
992,8.906501
993,9.3134
994,9.243999
995,8.6433
996,8.6864
997,8.9897
998,8.9319
999,9.0055
1000,8.702
1001,8.8628
1002,9.5019
1003,9.034801
1004,8.7825
1005,9.6418
1006,9.8145
1007,8.9513
1008,8.927601
1009,8.8281
1010,9.1442
1011,8.5907
1012,8.8336
1013,8.9845
1014,9.023601
1015,9.0029
1016,9.0344
1017,9.383499
1018,8.823
1019,8.808599
1020,9.401501
1021,8.5718
1022,8.8887
1023,8.7879
1024,8.981
1025,9.0457
1026,8.9572
1027,8.902699
1028,9.002399
1029,9.1964
1030,8.6513
1031,9.299
1032,10.8464
1033,9.4974
1034,9.221299
1035,8.800401
1036,8.905399
1037,9.2411
1038,8.8301
1039,8.6658
1040,9.0386
1041,9.7514
1042,8.2708
1043,9.2154
1044,8.8491
1045,8.6561
1046,9.1108
1047,9.3676
1048,8.9823
1049,8.8309
1050,9.035
1051,8.750299
1052,9.3767
