CapturedFrameNumber,LatencyInMs
0,17.3427
1,15.6443
2,11.5045
3,13.7329
4,13.7196
5,13.8011
6,14.9904
7,16.2127
8,11.568
9,13.8693
10,13.8155
11,13.3462
12,13.5968
13,13.5905
14,14.8064
15,13.3791
16,13.6829
17,14.2131
18,13.784
19,15.687
20,13.3202
21,13.7668
22,13.2983
23,13.5605
24,13.6067
25,13.5909
26,13.524
27,13.4819
28,13.6208
29,13.4932
30,13.6444
31,13.5959
32,13.6452
33,13.6651
34,14.2095
35,13.4435
36,13.7031
37,13.4286
38,13.6926
39,13.4985
40,13.7982
41,13.7778
42,13.8094
43,13.7324
44,14.3047
45,12.5875
46,13.8305
47,13.7061
48,13.5854
49,13.3293
50,13.7268
51,14.276
52,13.4449
53,13.6159
54,13.4148
55,13.6901
56,14.0321
57,13.4247
58,13.5952
59,13.5866
60,13.7647
61,13.4408
62,13.9223
63,13.5441
64,13.8203
65,13.3946
66,13.5516
67,13.5476
68,13.7911
69,13.3828
70,13.7921
71,13.454
72,13.5819
73,13.8024
74,13.6898
75,13.2621
76,13.7494
77,13.8877
78,14.0439
79,13.1154
80,13.734
81,13.4291
82,13.6305
83,13.5373
84,13.5885
85,13.5838
86,13.9331
87,13.2396
88,13.8606
89,13.2425
90,14.2449
91,13.7398
92,13.3357
93,13.6399
94,13.5826
95,13.4608
96,13.7852
97,13.5714
98,14.2816
99,13.0624
100,13.4829
101,13.4935
102,13.5606
103,14.3125
104,13.2539
105,13.4182
106,13.7209
107,13.9292
108,13.8045
109,13.7311
110,13.6185
111,13.5928
112,14.0868
113,13.442
114,13.7673
115,13.0831
116,13.7189
117,14.9747
118,13.0634
119,13.3265
120,13.8283
121,13.6695
122,13.8703
123,13.6459
124,13.4572
125,14.7176
126,13.1601
127,13.5742
128,13.6177
129,13.6216
130,14.7391
131,13.1129
132,13.5809
133,13.5541
134,14.0915
135,13.87
136,13.3571
137,13.2649
138,13.6632
139,13.612
140,13.5594
141,13.8226
142,13.4833
143,15.1652
144,13.2501
145,13.6811
146,13.6257
147,14.1325
148,13.6661
149,13.5397
150,13.4032
151,14.1265
152,13.3481
153,13.3973
154,13.6371
155,13.859
156,13.4948
157,13.4184
158,13.4009
159,13.7418
160,14.1632
161,13.6461
162,13.6957
163,14.8067
164,13.2412
165,13.4025
166,13.6222
167,13.561
168,14.1215
169,13.3768
170,13.6699
171,13.2064
172,13.5468
173,13.4868
174,13.7979
175,13.7103
176,13.8572
177,13.8118
178,13.6326
179,13.633
180,13.503
181,13.4494
182,13.9499
183,13.1341
184,13.6715
185,13.5336
186,13.7038
187,13.5778
188,13.4895
189,13.6256
190,14.3691
191,13.5688
192,13.4859
193,13.5409
194,14.239
195,13.4246
196,13.6246
197,13.7871
198,13.5606
199,14.1547
200,13.3924
201,13.6554
202,13.2746
203,14.6453
204,13.4397
205,13.7132
206,13.7947
207,13.5995
208,13.5284
209,13.3661
210,13.8492
211,13.9583
212,13.641
213,13.7697
214,13.9178
215,13.7028
216,14.7889
217,13.4674
218,13.5146
219,13.9032
220,13.9561
221,14.2726
222,14.1294
223,13.5664
224,14.0287
225,14.3556
226,13.6044
227,14.1314
228,13.7017
229,13.7305
230,13.7939
231,13.7285
232,14.37
233,13.285
234,14.6781
235,13.4531
236,15.2046
237,14.0823
238,14.7691
239,13.6329
240,13.989
241,14.074
242,14.052
243,13.8419
244,13.5744
245,14.2187
246,13.5076
247,13.8206
248,13.9365
249,13.58
250,13.7582
251,13.708
252,14.1408
253,12.7479
254,14.143
255,13.5246
256,13.8498
257,13.556
258,13.7981
259,13.6223
260,14.7366
261,13.222
262,13.5854
263,13.7291
264,13.5961
265,13.2955
266,13.665
267,13.7047
268,13.9653
269,14.6984
270,13.3898
271,13.8263
272,13.4493
273,14.2526
274,13.4566
275,13.6286
276,13.9294
277,13.5894
278,13.3993
279,13.5144
280,13.491
281,13.5841
282,13.7919
283,13.4494
284,13.6692
285,13.571
286,13.5737
287,13.402
288,13.6424
289,13.7866
