CapturedFrameNumber,LatencyInMs
0,12.2565
1,10.7564
2,7.7492
3,8.8464
4,9.1376
5,9.0418
6,8.8455
7,8.8929
8,9.3757
9,8.9504
10,8.780101
11,9.0267
12,8.966599
13,10.3885
14,10.8325
15,7.845
16,8.8346
17,9.2831
18,9.4636
19,8.523801
20,8.9624
21,8.9958
22,8.8821
23,8.647
24,9.0007
25,8.8646
26,8.745
27,9.2098
28,9.1494
29,9.0121
30,8.823899
31,9.1509
32,8.665501
33,8.644
34,9.0948
35,9.243
36,8.616199
37,8.7324
38,9.1027
39,8.9353
40,9.1339
41,8.7109
42,8.984
43,9.2192
44,9.2019
45,9.272799
46,8.8814
47,8.656799
48,9.1699
49,8.936399
50,8.883
51,8.9066
52,9.7747
53,8.3737
54,8.7904
55,9.1923
56,8.8414
57,9.0691
58,9.157001
59,8.5779
60,8.7307
61,8.8469
62,9.0393
63,8.7618
64,9.4746
65,9.2158
66,8.909
67,9.175799
68,9.0806
69,9.1285
70,8.985101
71,8.7959
72,9.2602
73,8.779799
74,8.757
75,9.0343
76,9.514501
77,8.6055
78,8.9502
79,9.4746
80,8.4155
81,8.788
82,9.1974
83,8.955899
84,8.5935
85,8.983
86,9.4659
87,8.6337
88,8.747399
89,8.8392
90,8.8719
91,8.8196
92,9.1699
93,8.9381
94,9.2212
95,8.5783
96,8.807799
97,8.8874
98,9.115399
99,8.8778
100,9.5644
101,8.677501
102,8.7487
103,9.3342
104,9.0801
105,9.1934
106,9.550301
107,8.835899
108,8.8931
109,9.2287
110,8.765201
111,8.9213
112,9.0603
113,8.9216
114,8.7365
115,8.9108
116,9.1003
117,9.1423
118,9.1259
119,9.8525
120,9.1636
121,8.9551
122,8.7335
123,9.116199
124,8.9029
125,8.5955
126,9.1439
127,8.9146
128,8.7734
129,8.9833
130,9.4633
131,8.807401
132,8.719501
133,9.296
134,8.4575
135,8.9868
136,9.289201
137,9.1519
138,8.466101
139,8.7986
140,9.071899
141,9.1393
142,9.040401
143,8.6672
144,9.3163
145,8.9044
146,9.2022
147,9.2829
148,9.0164
149,8.6106
150,8.943101
151,9.0692
152,8.9425
153,9.3774
154,9.6826
155,8.362
156,9.0376
157,8.8497
158,9.1503
159,8.6926
160,9.582101
161,8.8586
162,8.6975
163,9.319
164,9.0114
165,8.7971
166,8.874399
167,9.1065
168,8.7796
169,8.9301
170,8.843201
171,9.393701
172,8.6058
173,8.7174
174,9.3224
175,8.778999
176,8.627
177,8.8503
178,9.1672
179,8.812201
180,8.878099
181,9.1335
182,8.7858
183,8.9022
184,9.603001
185,8.6188
186,9.135301
187,9.5468
188,9.083099
189,8.3961
190,8.8451
191,8.940701
192,8.9136
193,8.8454
194,9.5194
195,9.253401
196,8.6207
197,8.9507
198,9.0513
199,8.9254
200,8.7014
201,8.883699
202,9.1714
203,8.5536
204,8.8135
205,9.5255
206,8.3396
207,8.9573
208,9.0729
209,9.0116
210,8.7578
211,8.898999
212,9.314
213,8.7751
214,8.7601
215,8.911799
216,9.2278
217,8.639999
218,8.8033
219,9.1175
220,9.208899
221,9.2422
222,9.3166
223,8.776401
224,8.745
225,8.8545
226,9.2991
227,8.667601
228,8.7267
229,9.1687
230,9.2102
231,8.9197
232,8.9915
233,8.8559
234,8.8558
235,8.9999
236,9.0905
237,8.8111
238,8.830299
239,9.1786
240,8.972199
241,8.664599
242,8.9587
243,9.1507
244,8.8451
245,8.6116
246,8.9219
247,9.048201
248,8.859699
249,8.9902
250,9.4389
251,8.7913
252,8.870501
253,9.030001
254,8.8254
255,8.8
256,9.1677
257,8.8369
258,9.0013
259,8.8256
260,9.4531
261,8.7035
262,9.3906
263,8.9601
264,8.9767
265,8.8253
266,8.7196
267,9.0061
268,8.826799
269,8.9251
270,8.9307
271,9.1264
272,8.9411
273,8.8054
274,8.9564
275,8.7659
276,8.8355
277,8.9187
278,9.3033
279,8.9639
280,8.9101
281,9.004499
282,8.7789
283,8.7913
284,9.844001
285,8.9798
286,8.9628
287,8.9026
288,9.2685
289,8.7581
290,9.0309
291,8.882501
292,8.7934
293,8.7489
294,9.0472
295,9.132601
296,9.4186
297,8.7508
298,9.4401
299,8.8093
300,8.967899
301,9.1732
302,8.6836
303,8.791101
304,9.101
305,9.0586
306,8.749
307,8.8646
308,9.068501
309,8.7166
310,8.838799
311,8.721499
312,9.097199
313,9.132401
314,8.617
315,9.0369
316,8.874701
317,8.736
318,8.7642
319,9.340199
320,8.8814
321,8.807
322,9.02
323,8.7316
324,9.1754
325,8.7701
326,8.8229
327,8.7226
328,9.104199
329,8.9523
330,9.208301
331,8.788401
332,8.8768
333,9.086599
334,9.1364
335,8.702
336,9.3495
337,8.6579
338,8.8507
339,8.9782
340,9.1466
341,8.9579
342,8.7832
343,9.2585
344,8.7332
345,8.8102
346,9.0702
347,9.168099
348,8.7963
349,8.9932
350,9.1888
351,8.6791
352,8.9839
353,8.7353
354,9.1188
355,9.1349
356,9.0387
357,9.1065
358,9.0247
359,8.2993
360,8.9866
361,9.1302
362,8.6806
363,8.8894
364,9.106299
365,9.1951
366,8.5338
367,9.164
368,9.058499
369,8.9535
370,8.7933
371,9.115001
372,8.837
373,8.7265
374,8.9769
375,9.137899
376,8.5646
377,8.7304
378,9.5407
379,8.968699
380,8.8286
381,9.3014
382,9.0141
383,8.7585
384,9.0988
385,9.6089
386,8.884299
387,8.914499
388,9.1428
389,8.79
390,8.883801
391,9.0657
392,9.2665
393,8.1979
394,9.2637
395,8.9186
396,8.808599
397,9.1525
398,9.2697
399,8.5309
400,8.9535
401,8.8195
402,9.147901
403,8.986899
404,8.7438
405,9.3304
406,8.8498
407,8.7353
408,9.4171
409,9.1247
410,8.6672
411,8.881701
412,9.7017
413,8.579599
414,8.632999
415,9.157599
416,8.7187
417,11.4346
418,8.9569
419,8.8484
420,8.9887
421,9.2275
422,8.711599
423,8.9932
424,8.8337
425,9.2961
426,9.187201
427,8.5564
428,9.1331
429,9.4126
430,8.4449
431,8.8905
432,9.1941
433,8.4931
434,9.2165
435,8.9194
436,8.8251
437,8.7554
438,9.0456
439,8.9124
440,9.24
441,8.595099
442,9.7682
443,8.774301
444,8.6017
445,9.026
446,9.3453
447,9.1221
448,9.084999
449,8.756499
450,8.7246
451,8.8275
452,9.1425
453,9.0846
454,8.7374
455,9.191099
456,9.232
457,8.625401
458,9.2111
459,9.1223
460,9.0183
461,8.574901
462,8.8883
463,9.0189
464,8.9655
465,9.0983
466,8.9916
467,9.0696
468,8.8191
469,9.152599
470,8.8117
471,8.7808
472,9.0548
473,8.834
474,8.6462
475,8.700399
476,9.0057
477,9.188399
478,8.4703
479,9.226501
480,8.9544
481,8.9527
482,8.9082
483,9.7719
484,8.8576
485,8.677501
486,9.2068
487,8.880199
488,8.6348
489,8.7941
490,9.7657
491,8.888
492,8.7182
493,9.004
494,9.1538
495,9.2639
496,8.5182
497,9.2988
498,8.7506
499,9.3714
500,8.865499
501,8.962299
502,9.0071
503,9.1117
504,8.9558
505,8.8257
506,8.9079
507,9.1243
508,9.0752
509,9.3123
510,9.032
511,9.2816
512,8.398
513,9.132299
514,8.8181
515,8.846101
516,8.9533
517,9.0402
518,9.005099
519,8.9566
520,9.1151
521,8.8158
522,8.8858
523,8.9918
524,9.036201
525,8.959599
526,8.7466
527,8.8327
528,9.146
529,8.366401
530,8.8196
531,9.300099
532,8.752
533,8.881
534,9.1941
535,8.6833
536,8.7165
537,9.0821
538,9.5723
539,8.7825
540,8.785501
541,8.8238
542,9.0992
543,8.9316
544,8.7999
545,9.8077
546,8.599899
547,8.8599
548,9.0791
549,8.7076
550,8.9986
551,9.857901
552,8.996301
553,8.459701
554,8.859699
555,9.6282
556,8.7205
557,8.7598
558,9.0582
559,8.7649
560,8.9719
561,8.9435
562,9.2449
563,8.7118
564,8.8718
565,9.317101
566,8.7848
567,8.8487
568,9.049
569,8.9125
570,8.872601
571,8.8414
572,9.5994
573,9.0441
574,8.6908
575,9.000401
576,9.0453
577,9.1085
578,8.905
579,9.5981
580,8.5167
581,8.8094
582,9.7235
583,8.6678
584,8.6384
585,8.9336
586,9.1319
587,8.7157
588,8.9416
589,9.1453
590,9.2108
591,8.571
592,9.1614
593,8.8954
594,8.7455
595,8.7989
596,9.8276
597,8.4521
598,8.6896
599,9.439099
600,8.605101
601,8.8427
602,8.982
603,9.2003
604,8.7036
605,8.8181
606,9.0822
607,9.0091
608,9.008901
609,8.9848
610,9.0127
611,8.9417
612,9.0846
613,9.3097
614,8.391001
615,8.8197
616,9.472199
617,8.7061
618,8.83
619,10.685
620,9.0063
621,9.1463
622,8.997499
623,9.0731
624,9.0878
625,8.812201
626,8.960501
627,9.0905
628,8.5985
629,8.933801
630,9.1178
631,8.5074
632,8.877
633,9.1284
634,8.8659
635,8.658
636,9.4423
637,8.7065
638,8.8224
639,8.9004
640,9.0701
641,8.752
642,8.8652
643,9.0522
644,8.888
645,8.789599
646,8.7611
647,9.403
648,8.5872
649,8.8253
650,9.1569
651,9.575399
652,8.6247
653,9.178301
654,9.207701
655,8.9676
656,8.596999
657,9.1506
658,8.7901
659,9.0989
660,9.0026
661,8.8762
662,8.878201
663,9.1048
664,9.439
665,8.2938
666,8.7337
667,9.0122
668,9.0286
669,8.746
670,8.623899
671,8.8832
672,9.772
673,8.775001
674,9.317101
675,9.071401
676,9.6496
677,8.8659
678,8.9342
679,8.9629
680,8.8035
681,9.4368
682,8.9875
683,8.619699
684,9.0847
685,8.885401
686,8.8762
687,8.904599
688,9.2036
689,9.060201
690,8.989901
691,9.345799
692,8.7264
693,8.8733
694,9.119801
695,9.2042
696,8.3275
697,8.7419
698,9.3901
699,8.431601
700,8.7957
701,9.003301
702,9.4215
703,8.755199
704,8.163301
705,8.9633
706,9.3052
707,8.8245
708,8.9132
709,9.1648
710,8.7894
711,8.7255
712,8.9529
713,9.0121
714,8.8421
715,9.112
716,8.7623
717,8.984301
718,8.6759
719,9.123501
720,9.434401
721,8.502501
722,8.9345
723,9.144
724,8.8026
725,8.9703
726,9.0677
727,8.7723
728,8.8338
729,9.197499
730,8.892799
731,8.8765
732,9.1624
733,8.8302
734,8.824201
735,8.9608
736,9.2614
737,8.963201
738,8.8573
739,8.8654
740,9.0611
741,9.3892
742,8.4152
743,9.3392
744,8.933801
745,8.8323
746,9.2792
747,8.9675
748,8.6308
749,8.8452
750,8.8601
751,8.9862
752,8.7576
753,9.0258
754,9.2222
755,8.5202
756,8.6653
757,9.0498
758,9.025399
759,8.9895
760,8.794801
761,9.6029
762,8.565001
763,8.7606
764,9.1634
765,9.0105
766,9.0902
767,9.686299
768,9.3471
769,8.6707
770,8.5611
