CapturedFrameNumber,LatencyInMs
0,18.03034
1,20.63811
2,20.98098
3,15.25906
4,14.75881
5,14.63464
6,14.03041
7,16.85867
8,15.63999
9,15.1446
10,11.10762
11,11.01079
12,11.56725
13,13.37508
14,14.83086
15,15.39779
16,15.00025
17,14.86075
18,15.29534
19,15.30658
20,14.73786
21,15.9987
22,14.20338
23,14.89166
24,15.49973
25,14.88579
26,15.66784
27,15.02503
28,14.78334
29,14.99105
30,14.94583
31,15.42282
32,15.66145
33,14.22714
34,15.16478
35,15.53652
36,14.95426
37,14.80914
38,15.14664
39,14.81067
40,15.23708
41,15.29457
42,15.89752
43,14.31682
44,15.15942
45,14.98517
46,15.12441
47,14.92692
48,15.23555
49,15.74525
50,14.77107
51,15.05058
52,15.75879
53,14.95579
54,15.72481
55,14.4047
56,15.76722
57,14.89703
58,15.67678
59,14.93612
60,14.94199
61,14.79075
62,15.06284
63,15.03576
64,15.54955
65,14.88553
66,15.83748
67,14.44073
68,15.51276
69,15.2634
70,14.5976
71,15.9315
72,14.9959
73,14.98568
74,15.76365
75,14.79228
76,15.60652
77,14.75115
78,15.37607
79,14.93178
80,15.42001
81,14.77414
82,15.15788
83,14.93535
84,15.37914
85,15.05543
86,15.65149
87,14.57179
88,15.43815
89,14.74246
90,15.19723
91,15.61061
92,14.78512
93,15.68061
94,14.81272
95,14.75702
96,15.66579
97,15.11036
98,15.14051
99,14.67884
100,15.04802
101,15.04266
102,15.64612
103,14.70235
104,15.19059
105,14.9913
106,15.07792
107,14.87327
108,15.02324
109,15.57637
110,15.00638
111,15.07536
112,14.81323
113,16.36047
114,14.42667
115,14.88681
116,15.29789
117,15.0097
118,15.48005
119,14.63643
120,14.96882
121,15.67269
122,14.8748
123,14.98236
124,15.33213
125,14.98619
126,16.37222
127,14.3904
128,14.90316
129,15.39242
130,15.0751
131,15.01276
132,15.07102
133,15.46728
134,14.93459
135,15.6428
136,15.25625
137,15.33954
138,15.13949
139,14.7491
140,15.54418
141,14.97981
142,15.15865
143,15.14255
144,15.32191
145,15.04777
146,15.68138
147,14.91006
148,15.24909
149,15.21639
150,15.09375
151,14.85819
152,15.31552
153,14.87966
154,15.35819
155,14.80786
156,15.37122
157,15.08558
158,15.34567
159,14.67552
160,15.46013
161,14.77133
162,15.082
163,15.37914
164,14.96371
165,15.21205
166,15.10678
167,14.698
168,15.23351
169,14.74706
170,16.29225
171,14.83699
172,14.77644
173,15.04113
174,15.18088
