CapturedFrameNumber,LatencyInMs
0,41.91196
1,41.31386
2,40.94417
3,42.37158
4,40.59772
5,39.95185
6,39.40356
7,39.04282
8,39.38364
9,40.48377
10,39.1422
11,39.31951
12,39.74924
13,39.76559
14,38.82233
15,39.25002
16,39.36422
17,40.79266
18,39.50627
19,39.76381
20,39.13173
21,39.83867
22,38.97536
23,38.60159
24,38.39771
25,39.08574
26,38.82437
27,38.76075
28,38.86602
29,39.05125
30,39.39513
31,40.94468
32,39.42988
33,39.19381
34,45.75196
35,40.00345
36,39.17848
37,39.30622
38,39.30392
39,39.57193
40,39.11103
41,39.08804
42,39.11972
43,39.46233
44,41.61585
45,39.6496
46,39.1376
47,40.01955
48,39.49554
49,40.23391
50,39.29268
51,39.33739
52,38.74313
53,39.17695
54,39.27148
55,39.23111
56,38.9258
57,41.78421
58,39.21732
59,38.60133
60,39.50014
61,38.70761
62,39.05942
63,39.54536
64,38.83944
65,38.83842
66,39.21195
67,39.23954
68,39.63529
69,39.47255
70,39.74158
71,41.71089
72,39.08088
73,40.25281
74,39.18998
75,39.25436
76,39.13351
77,40.06503
78,39.95849
79,39.16928
80,39.66493
81,39.9498
82,39.43142
83,39.93779
84,40.94774
85,39.87213
86,38.88339
87,39.1979
88,39.11077
89,39.22089
90,39.25692
91,40.03794
92,39.0377
93,40.06681
94,39.90126
95,39.81593
96,39.55788
97,41.40123
98,39.37265
99,39.42503
100,39.25793
101,39.57653
102,39.41608
103,39.96947
104,39.2025
105,39.9355
106,38.93755
107,39.20735
108,39.34327
109,39.59314
110,41.70705
111,40.0985
112,39.43627
113,40.05685
114,39.70172
115,39.27531
116,39.65522
117,39.40893
118,39.66902
119,39.2048
120,39.29524
121,39.17082
122,38.89335
123,41.37237
124,38.95493
125,39.35707
126,39.66774
127,39.075
128,39.12636
129,40.17208
130,39.2145
131,39.76713
132,39.46821
133,39.33458
134,39.38977
135,39.20148
136,41.76939
137,43.96353
138,40.40483
139,39.3425
140,39.27505
141,39.85783
142,39.42017
143,39.79012
144,39.76278
145,39.41199
146,38.94624
147,39.79115
148,39.22958
149,41.36291
150,39.46156
151,39.60668
152,39.37138
153,39.98455
154,39.14961
155,39.26024
156,39.33331
157,40.60769
158,39.68895
159,39.31823
160,39.2398
161,40.32665
162,41.14524
163,39.78041
164,39.5073
165,39.77351
166,38.82718
167,39.80928
168,39.31312
169,39.23724
170,39.72906
171,39.16545
172,39.12406
173,39.84556
174,40.23697
175,41.32306
176,41.56373
177,39.62763
178,39.49963
179,39.12994
180,39.56989
181,39.88772
182,39.26126
183,39.31721
184,38.85682
185,39.82154
186,41.1598
187,39.97126
188,41.77042
189,40.78908
190,39.889
191,39.70964
192,39.773
193,39.7403
194,39.67745
195,39.61894
196,39.72983
197,39.92093
198,39.98889
199,40.69608
200,39.93268
201,41.7975
202,39.87367
203,40.14908
204,39.20633
205,39.95926
206,39.35604
207,39.11512
208,39.88516
209,39.43933
210,39.79753
211,39.3259
212,40.02517
213,41.03027
214,41.76991
215,39.58752
216,39.2891
217,39.80902
218,39.30622
219,39.39718
220,39.05661
221,40.12276
222,39.56657
223,39.58931
224,39.14169
225,39.61766
226,39.63887
227,41.79775
228,39.22293
229,39.59314
230,39.44138
231,39.35349
232,39.73315
233,39.30086
234,39.44061
235,39.09774
236,40.36037
237,41.08469
238,39.43678
239,45.29463
240,40.90968
241,39.25129
242,39.49912
