CapturedFrameNumber,LatencyInMs
0,29.05672
1,27.20187
2,27.23049
3,27.67197
4,26.91572
5,26.81481
6,26.29667
7,26.05013
8,26.58308
9,26.37945
10,26.56213
11,27.13953
12,26.58435
13,26.67301
14,26.6214
15,26.46351
16,26.59866
17,26.86744
18,26.61936
19,27.08077
20,26.69677
21,26.47168
22,26.60735
23,26.79718
24,26.69805
25,26.46887
26,26.36412
27,26.50669
28,26.47705
29,26.87638
30,27.43155
31,26.86871
32,26.27572
33,26.44639
34,26.03889
35,26.63673
36,26.55191
37,26.14057
38,26.80254
39,26.91726
40,26.28722
41,26.4865
42,26.42876
43,26.30996
44,26.49391
45,26.27854
46,26.35518
47,26.45636
48,26.40526
49,27.06876
50,26.65538
51,26.85543
52,26.39427
53,26.89299
54,26.20163
55,26.64618
56,26.41854
57,27.91903
58,26.92134
59,26.26857
60,26.8194
61,26.51972
62,26.9124
63,26.34036
64,26.89069
65,26.62268
66,26.72027
67,26.18835
68,26.75298
69,27.56952
70,27.72332
71,27.4594
72,28.19087
73,27.24045
74,26.98982
75,28.48494
76,28.85744
77,28.55468
78,28.81324
79,27.69317
80,27.60427
81,27.01281
82,27.52021
83,28.3342
84,27.61525
85,27.45813
86,27.70799
87,27.2614
88,27.36589
89,27.9875
90,27.75654
91,27.79001
92,27.37203
93,29.04139
94,26.26908
95,27.24198
96,26.21696
97,26.42544
98,26.73586
99,26.79283
100,27.03478
101,26.69651
102,26.49136
103,26.28799
104,26.95021
105,26.47858
106,26.6053
107,27.05931
108,26.89145
109,26.405
110,26.43949
111,26.13648
112,26.66253
113,26.72692
114,26.73228
115,26.43183
116,26.74404
117,26.3
118,26.43004
119,27.21439
120,26.88226
121,26.86922
122,26.84649
123,27.77774
124,26.65921
125,26.55395
126,26.48778
127,26.43643
128,26.46044
129,26.51026
130,26.754
131,27.47908
132,27.04245
133,26.56979
134,26.83908
135,26.63826
136,27.34648
137,26.53505
138,26.51231
139,26.53019
140,26.39964
141,26.70954
142,26.63443
143,26.42748
144,26.74633
145,26.43183
146,26.23664
147,26.86463
148,26.51435
149,26.49136
150,26.37664
151,27.65255
152,26.39121
153,26.36259
154,26.48395
155,26.79156
156,26.23791
157,26.68425
158,26.22667
159,26.78926
160,26.66918
161,27.07566
162,26.35212
163,26.54603
164,26.50566
165,26.5491
166,26.59202
167,26.74378
168,27.63135
169,26.34905
170,27.13263
171,26.39299
172,26.46147
173,26.74761
174,27.42236
175,26.53888
176,26.34854
177,26.43745
178,26.93591
179,27.24019
180,26.79999
181,26.28211
182,26.56928
183,26.58052
184,26.72973
185,26.49212
186,26.63392
187,26.2885
188,26.36412
189,26.98931
190,26.77163
191,26.98036
192,26.37153
193,25.96556
194,26.36489
195,26.40909
196,26.47168
197,26.7121
198,26.78977
199,26.60633
200,26.58257
201,26.31839
202,26.51563
203,26.74123
204,26.45176
205,26.50106
206,27.00668
207,26.5491
208,26.74531
209,26.93846
210,26.31839
211,26.3166
212,26.54016
213,26.25784
214,26.5818
215,26.57669
216,26.43591
217,27.21643
218,25.97195
219,26.48625
220,26.20342
221,26.62498
222,26.20087
223,26.01896
224,26.1559
225,26.32554
226,26.45252
227,26.93361
228,26.16535
229,26.34241
230,26.55395
231,26.40781
232,26.35416
233,26.92007
234,27.07259
235,26.27394
