CapturedFrameNumber,LatencyInMs
0,34.20896
1,32.85257
2,30.80713
3,31.25066
4,31.92591
5,29.90295
6,29.93489
7,29.79999
8,30.68143
9,30.20826
10,29.76882
11,29.85594
12,30.20647
13,30.01741
14,30.37458
15,31.22996
16,30.56211
17,30.08971
18,29.6564
19,35.30067
20,29.82911
21,29.91087
22,29.87893
23,30.26472
24,30.55853
25,30.00642
26,30.27085
27,30.31633
28,30.02839
29,30.48495
30,30.38046
31,30.5989
32,30.67121
33,32.62927
34,30.88249
35,31.41519
36,29.83908
37,29.69984
38,30.7011
39,30.19855
40,30.26166
41,31.30763
42,32.4093
43,30.14745
44,30.07949
45,30.57335
46,30.23049
47,30.79128
48,30.19089
49,30.69854
50,30.41674
51,31.43333
52,29.63928
53,30.66354
54,29.96248
55,30.4101
56,30.9594
57,30.94483
58,30.59711
59,30.85363
60,29.97372
61,30.71873
62,30.22691
63,30.81658
64,30.43846
65,30.65409
66,32.72049
67,30.36028
68,30.80176
69,30.04296
70,30.49671
71,30.38991
72,29.95379
73,30.76931
74,31.50589
75,30.67606
76,30.48419
77,30.03913
78,30.81249
79,29.90959
80,30.02456
81,30.66047
82,31.24606
83,30.03121
84,30.6058
85,30.49901
86,30.21822
87,30.57361
88,30.28005
89,30.80993
90,30.72946
91,30.14643
92,29.61476
93,30.83829
94,30.05343
95,29.93412
96,31.1993
97,31.85259
98,31.97803
99,31.8881
100,30.85363
101,29.85671
102,30.4244
103,30.46809
104,30.4244
105,30.44024
106,30.21976
107,31.46935
108,30.46017
109,29.95865
110,30.79026
111,30.76599
112,30.45532
113,30.97141
114,29.87434
115,30.94228
116,29.9354
117,30.70902
118,30.67376
119,30.11296
120,29.97934
121,29.61757
122,30.56646
123,31.01331
124,30.41418
125,30.70059
126,30.88531
127,30.72767
128,30.27801
129,30.06442
130,30.1265
131,31.20569
132,30.63544
133,30.22972
134,30.17939
135,29.87715
136,30.22359
137,30.14311
138,30.52021
139,30.44127
140,31.56669
141,31.10962
142,30.39323
143,30.1983
144,30.9037
145,30.48828
146,30.71745
147,30.2941
148,31.00871
149,29.94051
150,30.65639
151,30.51766
152,30.53069
153,30.63927
154,30.04883
155,30.49645
156,31.02583
157,30.14081
158,30.64208
159,30.66737
160,29.93208
161,30.71898
162,30.63901
163,31.43767
164,32.0207
165,30.3894
166,30.09584
167,29.57822
168,29.89861
169,29.754
170,30.32962
171,30.38404
172,30.33805
173,30.96195
174,29.86105
175,30.17198
176,29.99339
177,29.88098
178,30.6781
179,32.28947
180,30.94381
181,31.41085
182,30.57489
183,31.61421
184,29.94919
185,30.47014
186,30.19395
187,30.15818
188,30.37049
189,31.02174
190,29.73305
191,30.01894
192,30.20724
193,30.17709
194,30.80253
195,30.17453
196,30.14285
197,30.80227
198,32.82038
199,30.36513
200,30.74121
201,30.93385
202,30.46886
203,30.78899
204,30.18859
205,30.87457
206,30.59507
207,30.31557
208,30.39017
209,30.73942
210,30.18169
211,31.06798
212,30.58638
213,30.83625
214,30.7499
215,30.81275
216,30.3613
217,30.34827
218,30.24837
219,30.06416
220,29.93974
221,29.8194
222,31.39526
223,30.09227
224,29.88609
225,30.02073
226,30.6804
227,29.79718
228,30.32604
229,29.80075
230,31.15357
231,30.41623
232,29.63928
233,30.02763
234,30.0611
235,30.07336
236,29.71389
237,29.7448
238,30.42721
239,30.79486
240,29.81864
241,30.76829
242,30.40166
243,30.23432
244,31.0759
245,30.65409
246,30.91698
247,31.1086
248,30.62752
249,30.37739
250,30.40192
251,30.38991
252,29.97346
253,30.54065
254,30.6362
255,31.13466
256,30.44229
257,30.63212
258,30.67248
259,30.76344
260,29.81608
261,30.13136
262,30.07566
263,31.31759
264,31.40599
265,30.70723
266,30.49543
267,30.27443
268,31.18576
269,29.96886
270,29.6191
271,30.9175
272,30.36053
273,29.81659
274,30.16994
275,30.38276
276,30.20596
277,30.94202
278,30.88301
279,30.99312
280,31.50895
281,31.05393
282,30.5151
283,31.1459
284,30.37458
285,30.31378
286,30.83651
287,30.35414
288,31.43818
289,30.66431
290,30.94228
291,29.79028
292,30.09916
293,29.95584
294,30.07847
295,30.37407
296,31.02685
297,31.50359
298,30.23636
299,30.28005
300,29.94102
301,29.91598
