CapturedFrameNumber,LatencyInMs
0,18.68544
1,26.30336
2,14.87508
3,16.79431
4,12.85033
5,15.44227
6,14.86639
7,10.90606
8,10.89456
9,11.84856
10,12.94409
11,15.50614
12,14.91008
13,14.63032
14,15.02301
15,14.85668
16,14.92286
17,14.77186
18,15.44942
19,14.58229
20,15.02965
21,14.75858
22,15.55494
23,14.14796
24,14.92311
25,15.3554
26,15.03553
27,14.68832
28,14.73201
29,15.64819
30,14.37228
31,15.32014
32,14.40498
33,15.35438
34,15.34492
35,14.54856
36,14.96016
37,14.5851
38,14.98136
39,15.06005
40,15.08407
41,14.80712
42,15.33751
43,15.51125
44,14.976
45,15.66505
46,14.3802
47,14.9341
48,15.41416
49,14.83165
50,14.69956
51,14.69675
52,14.95198
53,14.85209
54,15.08228
55,14.76522
56,15.08816
57,15.0391
58,14.61167
59,15.14053
60,14.92541
61,14.78234
62,15.32679
63,15.12393
64,14.55674
65,15.11984
66,14.85873
67,15.06031
68,14.83701
69,14.64846
70,15.00282
71,14.90625
72,14.9134
73,14.65996
74,15.42183
75,14.69752
76,15.45248
77,14.64284
78,14.59098
79,15.00129
80,15.26802
81,14.77442
82,14.86179
83,15.39679
84,15.0414
85,14.5128
86,14.92771
87,15.37073
88,14.52378
89,15.06082
90,15.37865
91,14.45403
92,15.11166
93,15.03706
94,14.81964
95,14.95888
96,15.28616
97,14.82041
98,15.29306
99,14.40549
100,14.95428
101,14.78617
102,15.07641
103,15.19368
104,14.67299
105,15.00819
106,14.87074
107,15.28642
108,14.8646
109,15.39679
110,15.76904
111,14.05419
112,15.61268
113,14.97395
114,14.62623
115,15.16148
116,14.83574
117,15.31708
118,14.83854
119,14.9203
120,14.64335
121,15.07206
122,14.74682
123,15.20747
124,15.38912
125,14.56389
126,14.81938
127,14.80814
128,14.94253
129,15.00972
130,15.18984
131,14.87023
132,14.86384
133,14.883
134,15.06772
135,14.97676
136,15.07002
137,14.97217
138,14.89424
139,14.81453
140,15.15612
141,15.47011
142,14.4921
143,14.83267
144,15.24579
145,14.72025
146,14.98698
147,15.20262
148,14.73558
149,14.94508
150,15.01151
151,14.86563
152,15.02071
153,14.8968
154,15.23098
155,14.46119
156,15.04472
157,15.00104
158,15.10246
159,14.80916
160,15.22791
161,14.80942
162,14.79179
163,15.09608
164,14.56952
165,15.32091
166,14.8595
167,14.96629
168,14.95965
169,15.3135
170,14.83701
171,15.04932
172,14.74989
173,14.98162
174,15.12904
175,14.9737
176,14.75807
177,15.36587
178,15.49771
179,15.64512
180,14.43819
181,15.16378
182,14.85209
183,15.18473
184,14.82909
185,15.09506
186,14.98366
187,14.9387
188,14.66967
189,15.00487
190,14.84084
191,15.20492
192,14.8107
193,15.22561
194,14.48852
195,15.24835
196,14.93359
197,14.68244
198,14.74325
199,15.35489
200,14.63058
201,15.04166
202,14.89092
203,15.15586
204,14.55802
205,15.38682
206,15.03272
207,14.93946
208,14.5593
209,15.10476
210,15.00308
211,15.1132
212,14.95122
213,15.0994
214,14.59123
215,15.09633
216,14.85924
217,15.21105
218,14.97625
219,14.82909
220,14.90753
221,15.24758
222,14.685
223,15.27185
224,15.29945
225,14.91698
226,15.11575
227,15.18729
228,14.44203
229,15.05341
230,14.65945
231,15.21846
232,15.00947
233,14.55827
234,15.23787
235,14.50896
236,15.12904
237,14.86231
238,15.09403
239,14.90829
240,15.07589
241,14.77007
242,14.66175
