CapturedFrameNumber,LatencyInMs
0,46.4668
1,44.92007
2,43.72745
3,45.58511
4,44.41829
5,43.96199
6,44.15718
7,48.46268
8,44.59688
9,45.95634
10,44.7632
11,43.79107
12,44.49417
13,44.58308
14,43.65336
15,43.56164
16,44.20445
17,45.58332
18,44.34063
19,43.79107
20,49.27233
21,44.51231
22,44.33807
23,44.91931
24,45.31097
25,44.85058
26,43.52792
27,44.18273
28,44.6651
29,43.63445
30,43.93363
31,44.59893
32,44.13751
33,43.94768
34,44.13802
35,43.63599
36,44.4464
37,45.50055
38,44.27854
39,44.79386
40,43.78263
41,45.04603
42,44.17252
43,43.74994
44,44.94077
45,45.16534
46,44.09919
47,43.81458
48,45.17403
49,44.98293
50,44.0279
51,44.65156
52,43.974
53,44.07262
54,44.25299
55,43.81074
56,44.05652
57,44.23664
58,43.6784
59,44.03174
60,44.20649
61,43.99495
62,44.23741
63,44.48804
64,44.12933
65,44.82784
66,44.00338
67,44.65385
68,44.8677
69,44.44614
70,43.93618
71,43.40758
72,46.39885
73,44.28442
74,43.67303
75,44.29847
76,44.89248
77,44.93566
78,43.99751
79,46.17632
80,43.98626
81,44.50772
82,44.73127
83,43.49087
84,44.33807
85,48.80964
86,44.63111
87,43.811
88,43.77676
89,45.1099
90,44.37895
91,43.76986
92,44.37691
93,47.08662
94,43.67916
95,44.11426
96,45.88327
97,44.27854
98,43.92009
99,44.93541
100,44.89912
101,43.92162
102,49.58888
103,44.01999
104,44.76857
105,45.01921
106,44.3419
107,44.78313
108,45.23407
109,44.04707
110,43.97911
111,44.10583
112,45.07669
113,44.37588
114,44.35723
115,43.83476
116,44.5744
117,43.98958
118,44.06649
119,44.58998
120,44.32708
121,45.35747
122,44.97143
123,43.92495
124,44.25427
125,44.7977
126,48.89114
127,44.3442
128,45.44613
129,44.57874
130,44.23792
131,44.52253
132,45.00004
133,43.8161
134,45.11041
135,44.79693
136,45.16432
137,44.719
138,43.8718
139,43.77932
140,44.51691
141,44.50439
142,44.19372
143,44.11119
144,45.07132
145,44.91829
146,44.09433
147,44.21569
148,44.34625
149,43.97068
150,44.33143
151,44.37384
152,44.83781
153,44.83372
154,44.74353
155,46.17453
156,44.74711
157,49.82572
158,46.057
159,44.53556
160,45.35747
161,44.31226
162,44.61502
163,43.88918
164,46.0685
165,45.00106
166,44.45764
167,44.38738
168,44.6536
169,44.85646
170,44.00594
171,44.31329
172,45.03045
173,44.29464
174,44.63571
175,44.02535
176,44.00006
177,50.34538
178,44.47016
179,45.12574
180,43.77983
181,44.61885
182,47.85743
183,43.69066
184,45.26217
185,45.06187
186,44.38278
187,43.76628
188,45.29513
189,45.07899
190,44.79488
191,44.27394
192,44.53863
193,44.6817
194,44.24737
195,44.32504
196,44.72207
197,44.24073
198,44.0486
199,44.74557
200,44.73791
201,44.21237
202,44.65743
203,44.68605
204,44.19321
205,43.91294
206,44.42596
207,44.53326
208,44.91931
209,45.48726
210,44.23434
211,44.2208
212,45.09048
213,44.25887
214,44.65156
215,44.5583
216,44.30971
217,45.09176
218,44.80561
219,44.32708
220,44.43899
221,44.3069
222,44.73306
223,44.1485
224,45.86819
225,44.61477
226,44.65539
227,44.2581
228,45.17148
229,43.88381
230,44.40936
231,44.62346
232,44.77521
233,45.86053
234,43.64212
235,44.9211
236,45.21133
237,44.41574
238,43.97042
239,44.18733
240,45.65818
241,44.24226
242,44.55345
243,43.97119
244,44.95584
245,45.15895
246,44.37614
247,45.65077
248,44.46632
249,45.07644
250,44.4188
251,44.12065
252,44.37128
253,44.25402
254,44.36898
255,44.38815
256,44.32759
257,44.81456
258,44.83781
259,44.47629
260,43.64569
261,44.94307
262,44.62626
263,44.7816
264,44.96249
265,44.67532
266,44.86719
267,44.5118
268,45.29897
269,44.34267
270,44.44921
271,44.3953
272,44.11937
273,45.76651
274,43.96276
275,44.10736
276,44.57184
277,44.25861
278,44.44512
279,44.00108
280,45.08819
281,44.44563
282,43.66792
283,43.69909
284,45.13366
285,44.18554
286,44.60122
287,43.95152
